Road,7am–9am inbound,7am–9am outbound,4pm–7pm inbound,4pm–7pm outbound
"Abingdon Road, between Weirs Lane and Thames Street",-17%,-2%,-3%,-15%
"Woodstock Road, between St Giles and Moreton Road",-4%,No data for November 2024,-4%,No data for November 2024
"Woodstock Road, Moreton Road and Wolvercote roundabout",0%,3%,3%,17%
"Banbury Road, between St Giles and Moreton Road",7%,1%,5%,-4%
"Banbury Road, between Moreton Road and Cutteslowe roundabout",0%,6%,6%,22%
"Marston Ferry Road/Cherwell Drive, between Marsh Lane and Banbury Road (inbound = eastbound)",-14%,-21%,-7%,-30%
"Marsh Lane, between A40 and Cherwell Drive",-9%,7%,65%,16%
"London Road, between Headington roundabout and Windmill Road",-3%,4%,5%,6%
"London Road, between Windmill Road and Headley Way",-2%,2%,0%,-5%
Headington Road/Headington Hill between Headley Way and Marston Road,-4%,0%,-10%,-1%
"London Place/St Clements, between Marston Road and The Plain",-12%,-6%,-11%,-6%
"Cowley Road, between Southfield Road and The Plain",-13%,-1%,-9%,0%
"Cowley Road and Oxford Road, between Between Towns Road and Southfield Road",2%,3%,-1%,-5%
"Iffley Road, between Donnington Bridge Road and The Plain",-16%,-1%,-4%,-1%
Henley Avenue/Iffley Road between Church Cowley Road and Donnington Bridge Road,5%,4%,-2%,2%
"Oxford Road/Rose Hill, between Littlemore roundabout and Church Cowley Road",0%,1%,4%,3%
"High Street, between Longwall Street and The Plain",0%,1%,-2%,-14%
"Hollow Way, between Horspath Road and Garsington Road (inbound = northbound)",1%,9%,3%,1%
"Hollow Way, between Horspath Road and The Slade (inbound = northbound)",-1%,4%,5%,2%
The Slade (whole length) (inbound = northbound),-1%,3%,6%,5%
Windmill Road (whole length),4%,-3%,7%,6%
Old Road (Windmill to Gipsy Lane),2%,7%,2%,-3%
Warneford Lane/Morrell Avenue (whole length),5%,2%,-5%,3%
"Garsington Road/Oxford Road, between Between Towns Road and the Cowley interchange",19%,-5%,15%,6%
"Old Abingdon Road, Southern Bypass to Abingdon Road",-37%,-3%,-3%,6%
Horspath Driftway,No data,3%,No data,7%
Beaumont Street/Worcester Street/Hythe Bridge Street,-4%,-5%,-7%,-6%
Thames Street/Oxpens Road/Hollybush Row,-1%,1%,-3%,-16%
